Compliance Tag,Severity,Rule Name,Rule Id,Tested,Relevant,Non-compliant
Principle 1.3,Low,Ensure Auto Scaling group have scaling cooldown higher than a minute,D9.AWS.OPE.21,1,1,0
Principle 1.3,Medium,Ensure that Amazon EC2 Auto Scaling groups should use Amazon EC2 launch templates,D9.AWS.OPE.60,1,1,0
Principle 1.3,High,Ensure AWS Lightsail Disk's auto-mount status is not failed,D9.AWS.MON.44,0,0,0
Principle 1.3,High,Ensure EC2 instances are launched using the EC2-VPC platform instead of the EC2-Classic outdated platform,D9.AWS.NET.128,7,7,0
Principle 1.3,Critical,Instances with Direct Connect virtual interface should not have public interfaces,D9.AWS.NET.27,7,0,0
Principle 1.3,High,Ensure that AppRunner Service not publicly accessible through the internet,D9.AWS.NET.134,0,0,0
Principle 1.3,High,Ensure that public System Manager Documents include parameters,D9.AWS.VLN.05,0,0,0
Principle 1.3,Medium,Ensure that RDS cluster delete protection is enabled,D9.AWS.OPE.48,0,0,0
Principle 1.3,Critical,RDS should not have Public Interface,D9.AWS.NET.16,0,0,0
Principle 1.3,Critical,Ensure that S3 Buckets are configured with 'Block public access (bucket settings)',D9.AWS.NET.72,0,0,0
Principle 1.4,High,Ensure that the Amazon VPC peering connection configuration is compliant with the desired routing policy,D9.AWS.NET.132,7,7,7
Principle 1.4,Medium,Enforce creation of ElasticSearch domains within your VPCs,D9.AWS.NET.53,0,0,0
Principle 1.4,High,Ensure that AWS Neptune cluster deletion protection is enabled,D9.AWS.OPE.52,0,0,0
Principle 1.4,Medium,Ensure security groups associated with EKS cluster do not have inbound rules with a scope of 0.0.0.0/0,D9.AWS.NET.94,2,2,0
Principle 1.4,Low,Ensure AWS EBS Volumes are attached to instances,D9.AWS.OPE.05,7,7,0
Principle 1.4,Medium,Ensure that SageMaker is placed in VPC,D9.AWS.NET.48,0,0,0
Principle 1.4,Low,Ensure that RDS database instance doesn't use its default endpoint port,D9.AWS.NET.92,0,0,0
Principle 1.4,High,Ensure that Verified Permissions Policy Store has validation enabled,D9.AWS.OPE.93,0,0,0
Principle 1.4,High,Ensure no security group contains RFC 1918 CIDRs,D9.AWS.NET.99,7,7,3
Principle 1.4,Critical,Ensure AWS Redshift clusters are not publicly accessible,D9.AWS.NET.51,0,0,0
Principle 1.4,Low,Ensure that AWS Cloudfront web distributions are configured to compress objects (files) automatically,D9.AWS.OPE.34,0,0,0
Principle 1.4,High,Ensure that the VPC Endpoint status is Available state,D9.AWS.NET.55,4,4,0
Principle 1.4,High,Ensure EC2 Instances are Protected against Termination Actions,D9.AWS.OPE.45,7,7,7
Principle 1.4,High,ECS Task Definitions should Mount the Root File System as Read-only,D9.AWS.AS.14,0,0,0
Principle 1.4,High,Ensure Amazon Auto Scaling Groups have cooldown periods enabled ,D9.AWS.OPE.30,1,1,0
Principle 1.4,High,Ensure that EC2 instance's custom AMI is encrypted at rest,D9.AWS.CRY.67,7,0,0
Principle 1.4,High,RDS should not have been open to a large scope,D9.AWS.NET.18,0,0,0
Principle 1.4,Medium,Ensure that at least one Load Balancer is attached to the service,D9.AWS.NET.38,0,0,0
Principle 1.4,Medium,Instances are Configured under Virtual Private Cloud,D9.AWS.NET.12,7,7,0
Principle 1.4,Critical,Ensure that EC2 AMIs are not publicly accessible,D9.AWS.NET.29,0,0,0
Principle 1.4,Low,Ensure that at least one instance is registered with an ECS Cluster,D9.AWS.NET.34,0,0,0
Principle 1.4,Low,Ensure that Amazon ECR image repositories are using lifecycle policies.,D9.AWS.OPE.24,2,2,2
Principle 1.4,Critical,Amazon System Manager Document should not be publicly available,D9.AWS.VLN.04,0,0,0
Principle 1.4,High,Ensure that AWS Lightsail Domain's name server update state is not failed,D9.AWS.MON.46,0,0,0
Principle 1.4,Medium,Ensure that your Amazon Comprehend Flywheel uses a VPC,D9.AWS.NET.139,0,0,0
Principle 1.4,High,Enforce HTTPS for Amazon Elastic Beanstalk environment load balancers,D9.AWS.NET.1010,0,0,0
Principle 1.4,Low,Ensure that Classic Load Balancers are using one of the latest predefined security policies,D9.AWS.NET.1022,0,0,0
Principle 1.4,Low,Ensure that DocumentDB delete protection is enabled,D9.AWS.OPE.51,0,0,0
Principle 1.4,Medium,EksCluster endpoint should not be publicly accessible,D9.AWS.NET.71,2,2,2
Principle 1.4,Low,Ensure that Amazon ALBs are using the latest predefined security policy for their SSL/TLS negotiation configuration,D9.AWS.NET.1021,0,0,0
Principle 1.4,Critical,RDS Databases with Direct Connect virtual interface should not have public interfaces,D9.AWS.NET.28,0,0,0
Principle 1.4,Critical,Ensure that public access is not given to RDS Instance,D9.AWS.NET.17,0,0,0
Principle 1.4,Critical,Ensure AWS VPC subnets have automatic public IP assignment disabled,D9.AWS.NET.47,28,28,7
Principle 1.4,Low,Ensure IMDS Response Hop Limit is Set to One,D9.AWS.NET.97,7,7,5
Principle 1.4,High,Ensure EMR clusters nodes should not have public IP,D9.AWS.NET.93,0,0,0
Principle 1.4,Medium,Ensure AWS Lambda function is configured inside a VPC,D9.AWS.NET.74,66,66,66
Principle 1.4,Low,Ensure CloudFormation service is in use for defining your cloud architectures on Amazon Web Services,D9.AWS.OPE.54,1,1,0
Principle 1.4,Low,Ensure Auto Scaling group have scaling cooldown higher than a minute,D9.AWS.OPE.21,1,1,0
Principle 1.4,Medium,Ensure that Amazon EC2 Auto Scaling groups should use Amazon EC2 launch templates,D9.AWS.OPE.60,1,1,0
Principle 1.4,High,Ensure AWS Lightsail Disk's auto-mount status is not failed,D9.AWS.MON.44,0,0,0
Principle 1.4,High,Ensure EC2 instances are launched using the EC2-VPC platform instead of the EC2-Classic outdated platform,D9.AWS.NET.128,7,7,0
Principle 1.4,Critical,Instances with Direct Connect virtual interface should not have public interfaces,D9.AWS.NET.27,7,0,0
Principle 1.4,High,Ensure that AppRunner Service not publicly accessible through the internet,D9.AWS.NET.134,0,0,0
Principle 1.4,High,Ensure that public System Manager Documents include parameters,D9.AWS.VLN.05,0,0,0
Principle 1.4,Medium,Ensure that RDS cluster delete protection is enabled,D9.AWS.OPE.48,0,0,0
Principle 1.4,Critical,RDS should not have Public Interface,D9.AWS.NET.16,0,0,0
Principle 1.4,Critical,Ensure that S3 Buckets are configured with 'Block public access (bucket settings)',D9.AWS.NET.72,0,0,0
Principle 1.7,High,Ensure that the Amazon VPC peering connection configuration is compliant with the desired routing policy,D9.AWS.NET.132,7,7,7
Principle 1.7,Medium,Enforce creation of ElasticSearch domains within your VPCs,D9.AWS.NET.53,0,0,0
Principle 1.7,High,Ensure that AWS Neptune cluster deletion protection is enabled,D9.AWS.OPE.52,0,0,0
Principle 1.7,High,Ensure a log metric filter and alarm exist for STS 'AssumeRole' action,D9.AWS.MON.22,1,1,1
Principle 1.7,Medium,Ensure security groups associated with EKS cluster do not have inbound rules with a scope of 0.0.0.0/0,D9.AWS.NET.94,2,2,0
Principle 1.7,Low,Ensure AWS EBS Volumes are attached to instances,D9.AWS.OPE.05,7,7,0
Principle 1.7,Medium,Ensure that SageMaker is placed in VPC,D9.AWS.NET.48,0,0,0
Principle 1.7,Low,Ensure that RDS database instance doesn't use its default endpoint port,D9.AWS.NET.92,0,0,0
Principle 1.7,High,Ensure that Verified Permissions Policy Store has validation enabled,D9.AWS.OPE.93,0,0,0
Principle 1.7,High,Ensure no security group contains RFC 1918 CIDRs,D9.AWS.NET.99,7,7,3
Principle 1.7,Critical,Ensure AWS Redshift clusters are not publicly accessible,D9.AWS.NET.51,0,0,0
Principle 1.7,Low,Ensure that AWS Cloudfront web distributions are configured to compress objects (files) automatically,D9.AWS.OPE.34,0,0,0
Principle 1.7,High,Ensure that the VPC Endpoint status is Available state,D9.AWS.NET.55,4,4,0
Principle 1.7,Medium,Ensure a log metric filter and alarm exist for EC2 instance changes,D9.AWS.MON.26,1,1,1
Principle 1.7,High,Ensure EC2 Instances are Protected against Termination Actions,D9.AWS.OPE.45,7,7,7
Principle 1.7,High,ECS Task Definitions should Mount the Root File System as Read-only,D9.AWS.AS.14,0,0,0
Principle 1.7,High,Ensure Amazon Auto Scaling Groups have cooldown periods enabled ,D9.AWS.OPE.30,1,1,0
Principle 1.7,Medium,Ensure your AWS CloudFormation stacks are integrated with Simple Notification Service (SNS),D9.AWS.MON.36,101,101,101
Principle 1.7,High,Ensure that EC2 instance's custom AMI is encrypted at rest,D9.AWS.CRY.67,7,0,0
Principle 1.7,High,RDS should not have been open to a large scope,D9.AWS.NET.18,0,0,0
Principle 1.7,Medium,Ensure that at least one Load Balancer is attached to the service,D9.AWS.NET.38,0,0,0
Principle 1.7,Medium,Instances are Configured under Virtual Private Cloud,D9.AWS.NET.12,7,7,0
Principle 1.7,Critical,Ensure that EC2 AMIs are not publicly accessible,D9.AWS.NET.29,0,0,0
Principle 1.7,Low,Ensure that at least one instance is registered with an ECS Cluster,D9.AWS.NET.34,0,0,0
Principle 1.7,Low,Ensure that Amazon ECR image repositories are using lifecycle policies.,D9.AWS.OPE.24,2,2,2
Principle 1.7,Critical,Amazon System Manager Document should not be publicly available,D9.AWS.VLN.04,0,0,0
Principle 1.7,High,Ensure that AWS Lightsail Domain's name server update state is not failed,D9.AWS.MON.46,0,0,0
Principle 1.7,Medium,Ensure that your Amazon Comprehend Flywheel uses a VPC,D9.AWS.NET.139,0,0,0
Principle 1.7,Low,Ensure a log metric filter and alarm exists for AWS MFA Deletion for IAM users,D9.AWS.MON.25,1,1,1
Principle 1.7,High,Enforce HTTPS for Amazon Elastic Beanstalk environment load balancers,D9.AWS.NET.1010,0,0,0
Principle 1.7,Low,Ensure that Classic Load Balancers are using one of the latest predefined security policies,D9.AWS.NET.1022,0,0,0
Principle 1.7,Low,Ensure that DocumentDB delete protection is enabled,D9.AWS.OPE.51,0,0,0
Principle 1.7,Low,Ensure Email Address is added for each Amazon Detective's Member,D9.AWS.MON.47,0,0,0
Principle 1.7,Medium,EksCluster endpoint should not be publicly accessible,D9.AWS.NET.71,2,2,2
Principle 1.7,Low,Ensure that Amazon ALBs are using the latest predefined security policy for their SSL/TLS negotiation configuration,D9.AWS.NET.1021,0,0,0
Principle 1.7,High,Ensure a log metric filter and alarm exist for IAM login profile changes,D9.AWS.MON.21,1,1,1
Principle 1.7,Low,Ensure that the configuration recorder is set to 'on' and set S3 Bucket and SNS topic as your delivery channel,D9.AWS.MON.16,0,0,0
Principle 1.7,Critical,RDS Databases with Direct Connect virtual interface should not have public interfaces,D9.AWS.NET.28,0,0,0
Principle 1.7,Critical,Ensure that public access is not given to RDS Instance,D9.AWS.NET.17,0,0,0
Principle 1.7,Critical,Ensure AWS VPC subnets have automatic public IP assignment disabled,D9.AWS.NET.47,28,28,7
Principle 1.7,Low,Ensure IMDS Response Hop Limit is Set to One,D9.AWS.NET.97,7,7,5
Principle 1.7,Low,Ensure Auto Scaling group does not have suspended processes,D9.AWS.OPE.20,1,1,0
Principle 1.7,High,Ensure a log metric filter and alarm exist for SSM actions,D9.AWS.MON.23,1,1,1
Principle 1.7,Medium,Ensure a log metric filter and alarm exist for EC2 Large instance changes,D9.AWS.MON.27,1,1,1
Principle 1.7,High,Ensure EMR clusters nodes should not have public IP,D9.AWS.NET.93,0,0,0
Principle 1.7,Medium,Ensure AWS Lambda function is configured inside a VPC,D9.AWS.NET.74,66,66,66
Principle 1.7,Low,Ensure Network firewall alerts logging is enabled,D9.AWS.LOG.21,0,0,0
Principle 1.7,Low,Ensure CloudFormation service is in use for defining your cloud architectures on Amazon Web Services,D9.AWS.OPE.54,1,1,0
Principle 1.7,Low,Ensure Auto Scaling group have scaling cooldown higher than a minute,D9.AWS.OPE.21,1,1,0
Principle 1.7,Medium,Ensure that Amazon EC2 Auto Scaling groups should use Amazon EC2 launch templates,D9.AWS.OPE.60,1,1,0
Principle 1.7,High,Ensure AWS Lightsail Disk's auto-mount status is not failed,D9.AWS.MON.44,0,0,0
Principle 1.7,High,Ensure EC2 instances are launched using the EC2-VPC platform instead of the EC2-Classic outdated platform,D9.AWS.NET.128,7,7,0
Principle 1.7,Critical,Instances with Direct Connect virtual interface should not have public interfaces,D9.AWS.NET.27,7,0,0
Principle 1.7,High,Ensure that AppRunner Service not publicly accessible through the internet,D9.AWS.NET.134,0,0,0
Principle 1.7,Low,Ensure that Support Case status is not 'pending-customer-action',D9.AWS.OPE.78,0,0,0
Principle 1.7,High,Ensure that public System Manager Documents include parameters,D9.AWS.VLN.05,0,0,0
Principle 1.7,Medium,Ensure that RDS cluster delete protection is enabled,D9.AWS.OPE.48,0,0,0
Principle 1.7,Critical,RDS should not have Public Interface,D9.AWS.NET.16,0,0,0
Principle 1.7,Critical,Ensure that S3 Buckets are configured with 'Block public access (bucket settings)',D9.AWS.NET.72,0,0,0
Principle 2.2,High,Ensure that EC2 instances do not have high-severity vulnerabilities,D9.AWS.VLN.15,7,5,5
Principle 2.2,Critical,Ensure that EC2 instances do not have critical vulnerabilities,D9.AWS.VLN.14,7,5,5
Principle 2.2,High,Ensure that ECR Registry-level configuration is enabled for image scanning,D9.AWS.CRY.93,18,2,0
Principle 2.2,Low,Amazon GuardDuty service is enabled in the region,D9.AWS.VLN.03,18,18,16
Principle 2.3,High,Ensure that EC2 instances do not have high-severity vulnerabilities,D9.AWS.VLN.15,7,5,5
Principle 2.3,Critical,Ensure that EC2 instances do not have critical vulnerabilities,D9.AWS.VLN.14,7,5,5
Principle 2.3,High,Ensure that ECR Registry-level configuration is enabled for image scanning,D9.AWS.CRY.93,18,2,0
Principle 2.3,Low,Amazon GuardDuty service is enabled in the region,D9.AWS.VLN.03,18,18,16
Principle 2.4,High,Ensure that EC2 instances do not have high-severity vulnerabilities,D9.AWS.VLN.15,7,5,5
Principle 2.4,Critical,Ensure that EC2 instances do not have critical vulnerabilities,D9.AWS.VLN.14,7,5,5
Principle 2.4,High,Ensure that ECR Registry-level configuration is enabled for image scanning,D9.AWS.CRY.93,18,2,0
Principle 2.4,Low,Amazon GuardDuty service is enabled in the region,D9.AWS.VLN.03,18,18,16
Principle 2.5,High,Ensure that EC2 instances do not have high-severity vulnerabilities,D9.AWS.VLN.15,7,5,5
Principle 2.5,Critical,Ensure that EC2 instances do not have critical vulnerabilities,D9.AWS.VLN.14,7,5,5
Principle 2.5,High,Ensure that ECR Registry-level configuration is enabled for image scanning,D9.AWS.CRY.93,18,2,0
Principle 2.5,Low,Amazon GuardDuty service is enabled in the region,D9.AWS.VLN.03,18,18,16
Principle 3.1,High,Ensure that the Amazon VPC peering connection configuration is compliant with the desired routing policy,D9.AWS.NET.132,7,7,7
Principle 3.1,Medium,Enforce creation of ElasticSearch domains within your VPCs,D9.AWS.NET.53,0,0,0
Principle 3.1,High,Ensure that AWS Neptune cluster deletion protection is enabled,D9.AWS.OPE.52,0,0,0
Principle 3.1,Medium,Ensure security groups associated with EKS cluster do not have inbound rules with a scope of 0.0.0.0/0,D9.AWS.NET.94,2,2,0
Principle 3.1,Low,Ensure AWS EBS Volumes are attached to instances,D9.AWS.OPE.05,7,7,0
Principle 3.1,Medium,Ensure that SageMaker is placed in VPC,D9.AWS.NET.48,0,0,0
Principle 3.1,Low,Ensure that RDS database instance doesn't use its default endpoint port,D9.AWS.NET.92,0,0,0
Principle 3.1,High,Ensure that Verified Permissions Policy Store has validation enabled,D9.AWS.OPE.93,0,0,0
Principle 3.1,High,Ensure no security group contains RFC 1918 CIDRs,D9.AWS.NET.99,7,7,3
Principle 3.1,Critical,Ensure AWS Redshift clusters are not publicly accessible,D9.AWS.NET.51,0,0,0
Principle 3.1,Low,Ensure that AWS Cloudfront web distributions are configured to compress objects (files) automatically,D9.AWS.OPE.34,0,0,0
Principle 3.1,High,Ensure that the VPC Endpoint status is Available state,D9.AWS.NET.55,4,4,0
Principle 3.1,High,Ensure EC2 Instances are Protected against Termination Actions,D9.AWS.OPE.45,7,7,7
Principle 3.1,High,ECS Task Definitions should Mount the Root File System as Read-only,D9.AWS.AS.14,0,0,0
Principle 3.1,High,Ensure Amazon Auto Scaling Groups have cooldown periods enabled ,D9.AWS.OPE.30,1,1,0
Principle 3.1,High,Ensure that EC2 instance's custom AMI is encrypted at rest,D9.AWS.CRY.67,7,0,0
Principle 3.1,High,RDS should not have been open to a large scope,D9.AWS.NET.18,0,0,0
Principle 3.1,Medium,Ensure that at least one Load Balancer is attached to the service,D9.AWS.NET.38,0,0,0
Principle 3.1,Medium,Instances are Configured under Virtual Private Cloud,D9.AWS.NET.12,7,7,0
Principle 3.1,Critical,Ensure that EC2 AMIs are not publicly accessible,D9.AWS.NET.29,0,0,0
Principle 3.1,Low,Ensure that at least one instance is registered with an ECS Cluster,D9.AWS.NET.34,0,0,0
Principle 3.1,Low,Ensure that Amazon ECR image repositories are using lifecycle policies.,D9.AWS.OPE.24,2,2,2
Principle 3.1,Critical,Amazon System Manager Document should not be publicly available,D9.AWS.VLN.04,0,0,0
Principle 3.1,High,Ensure that AWS Lightsail Domain's name server update state is not failed,D9.AWS.MON.46,0,0,0
Principle 3.1,Medium,Ensure that your Amazon Comprehend Flywheel uses a VPC,D9.AWS.NET.139,0,0,0
Principle 3.1,High,Enforce HTTPS for Amazon Elastic Beanstalk environment load balancers,D9.AWS.NET.1010,0,0,0
Principle 3.1,Low,Ensure that Classic Load Balancers are using one of the latest predefined security policies,D9.AWS.NET.1022,0,0,0
Principle 3.1,Low,Ensure that DocumentDB delete protection is enabled,D9.AWS.OPE.51,0,0,0
Principle 3.1,Medium,EksCluster endpoint should not be publicly accessible,D9.AWS.NET.71,2,2,2
Principle 3.1,Low,Ensure that Amazon ALBs are using the latest predefined security policy for their SSL/TLS negotiation configuration,D9.AWS.NET.1021,0,0,0
Principle 3.1,Critical,RDS Databases with Direct Connect virtual interface should not have public interfaces,D9.AWS.NET.28,0,0,0
Principle 3.1,Critical,Ensure that public access is not given to RDS Instance,D9.AWS.NET.17,0,0,0
Principle 3.1,Critical,Ensure AWS VPC subnets have automatic public IP assignment disabled,D9.AWS.NET.47,28,28,7
Principle 3.1,Low,Ensure IMDS Response Hop Limit is Set to One,D9.AWS.NET.97,7,7,5
Principle 3.1,High,Ensure EMR clusters nodes should not have public IP,D9.AWS.NET.93,0,0,0
Principle 3.1,Medium,Ensure AWS Lambda function is configured inside a VPC,D9.AWS.NET.74,66,66,66
Principle 3.1,Low,Ensure CloudFormation service is in use for defining your cloud architectures on Amazon Web Services,D9.AWS.OPE.54,1,1,0
Principle 3.1,Low,Ensure Auto Scaling group have scaling cooldown higher than a minute,D9.AWS.OPE.21,1,1,0
Principle 3.1,Medium,Ensure that Amazon EC2 Auto Scaling groups should use Amazon EC2 launch templates,D9.AWS.OPE.60,1,1,0
Principle 3.1,High,Ensure AWS Lightsail Disk's auto-mount status is not failed,D9.AWS.MON.44,0,0,0
Principle 3.1,High,Ensure EC2 instances are launched using the EC2-VPC platform instead of the EC2-Classic outdated platform,D9.AWS.NET.128,7,7,0
Principle 3.1,Critical,Instances with Direct Connect virtual interface should not have public interfaces,D9.AWS.NET.27,7,0,0
Principle 3.1,High,Ensure that AppRunner Service not publicly accessible through the internet,D9.AWS.NET.134,0,0,0
Principle 3.1,High,Ensure that public System Manager Documents include parameters,D9.AWS.VLN.05,0,0,0
Principle 3.1,Medium,Ensure that RDS cluster delete protection is enabled,D9.AWS.OPE.48,0,0,0
Principle 3.1,Critical,RDS should not have Public Interface,D9.AWS.NET.16,0,0,0
Principle 3.1,Critical,Ensure that S3 Buckets are configured with 'Block public access (bucket settings)',D9.AWS.NET.72,0,0,0
Principle 3.2,High,Ensure that the Amazon VPC peering connection configuration is compliant with the desired routing policy,D9.AWS.NET.132,7,7,7
Principle 3.2,Medium,Enforce creation of ElasticSearch domains within your VPCs,D9.AWS.NET.53,0,0,0
Principle 3.2,High,Ensure that AWS Neptune cluster deletion protection is enabled,D9.AWS.OPE.52,0,0,0
Principle 3.2,Medium,Ensure security groups associated with EKS cluster do not have inbound rules with a scope of 0.0.0.0/0,D9.AWS.NET.94,2,2,0
Principle 3.2,Low,Ensure AWS EBS Volumes are attached to instances,D9.AWS.OPE.05,7,7,0
Principle 3.2,Medium,Ensure that SageMaker is placed in VPC,D9.AWS.NET.48,0,0,0
Principle 3.2,Low,Ensure that RDS database instance doesn't use its default endpoint port,D9.AWS.NET.92,0,0,0
Principle 3.2,High,Ensure that Verified Permissions Policy Store has validation enabled,D9.AWS.OPE.93,0,0,0
Principle 3.2,High,Ensure no security group contains RFC 1918 CIDRs,D9.AWS.NET.99,7,7,3
Principle 3.2,Critical,Ensure AWS Redshift clusters are not publicly accessible,D9.AWS.NET.51,0,0,0
Principle 3.2,Low,Ensure that AWS Cloudfront web distributions are configured to compress objects (files) automatically,D9.AWS.OPE.34,0,0,0
Principle 3.2,High,Ensure that the VPC Endpoint status is Available state,D9.AWS.NET.55,4,4,0
Principle 3.2,High,Ensure EC2 Instances are Protected against Termination Actions,D9.AWS.OPE.45,7,7,7
Principle 3.2,High,ECS Task Definitions should Mount the Root File System as Read-only,D9.AWS.AS.14,0,0,0
Principle 3.2,High,Ensure Amazon Auto Scaling Groups have cooldown periods enabled ,D9.AWS.OPE.30,1,1,0
Principle 3.2,High,Ensure that EC2 instance's custom AMI is encrypted at rest,D9.AWS.CRY.67,7,0,0
Principle 3.2,High,RDS should not have been open to a large scope,D9.AWS.NET.18,0,0,0
Principle 3.2,Medium,Ensure that at least one Load Balancer is attached to the service,D9.AWS.NET.38,0,0,0
Principle 3.2,Medium,Instances are Configured under Virtual Private Cloud,D9.AWS.NET.12,7,7,0
Principle 3.2,Critical,Ensure that EC2 AMIs are not publicly accessible,D9.AWS.NET.29,0,0,0
Principle 3.2,Low,Ensure that at least one instance is registered with an ECS Cluster,D9.AWS.NET.34,0,0,0
Principle 3.2,Low,Ensure that Amazon ECR image repositories are using lifecycle policies.,D9.AWS.OPE.24,2,2,2
Principle 3.2,Critical,Amazon System Manager Document should not be publicly available,D9.AWS.VLN.04,0,0,0
Principle 3.2,High,Ensure that AWS Lightsail Domain's name server update state is not failed,D9.AWS.MON.46,0,0,0
Principle 3.2,Medium,Ensure that your Amazon Comprehend Flywheel uses a VPC,D9.AWS.NET.139,0,0,0
Principle 3.2,High,Enforce HTTPS for Amazon Elastic Beanstalk environment load balancers,D9.AWS.NET.1010,0,0,0
Principle 3.2,Low,Ensure that Classic Load Balancers are using one of the latest predefined security policies,D9.AWS.NET.1022,0,0,0
Principle 3.2,Low,Ensure that DocumentDB delete protection is enabled,D9.AWS.OPE.51,0,0,0
Principle 3.2,Medium,EksCluster endpoint should not be publicly accessible,D9.AWS.NET.71,2,2,2
Principle 3.2,Low,Ensure that Amazon ALBs are using the latest predefined security policy for their SSL/TLS negotiation configuration,D9.AWS.NET.1021,0,0,0
Principle 3.2,Critical,RDS Databases with Direct Connect virtual interface should not have public interfaces,D9.AWS.NET.28,0,0,0
Principle 3.2,Critical,Ensure that public access is not given to RDS Instance,D9.AWS.NET.17,0,0,0
Principle 3.2,Critical,Ensure AWS VPC subnets have automatic public IP assignment disabled,D9.AWS.NET.47,28,28,7
Principle 3.2,Low,Ensure IMDS Response Hop Limit is Set to One,D9.AWS.NET.97,7,7,5
Principle 3.2,High,Ensure EMR clusters nodes should not have public IP,D9.AWS.NET.93,0,0,0
Principle 3.2,Medium,Ensure AWS Lambda function is configured inside a VPC,D9.AWS.NET.74,66,66,66
Principle 3.2,Low,Ensure CloudFormation service is in use for defining your cloud architectures on Amazon Web Services,D9.AWS.OPE.54,1,1,0
Principle 3.2,Low,Ensure Auto Scaling group have scaling cooldown higher than a minute,D9.AWS.OPE.21,1,1,0
Principle 3.2,Medium,Ensure that Amazon EC2 Auto Scaling groups should use Amazon EC2 launch templates,D9.AWS.OPE.60,1,1,0
